EnsemblID,gene_name,logFC,logCPM,PValue,FDR,F,gene_biotype,GroupA_AvgCPM,GroupB_AvgCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
C4_04400C_A,C4_04400C_A,2.0373,4.74766,8.80E-05,0.000829688,41.714,protein_coding,10.4716,42.9887,2.53724,16.3194,3.08109,NA,uncharacterized protein,NA
C4_04720W_A,C4_04720W_A,-1.31437,5.21611,1.80E-06,9.22E-05,101.146,protein_coding,52.7193,21.1774,7.93025,2.66604,4.03515,NA,methylenetetrahydrofolate dehydrogenase (NAD(+)),NA
C4_04860W_A,C4_04860W_A,2.25176,3.46116,2.05E-07,3.30E-05,162.674,protein_coding,3.76466,17.9659,0.925298,1.90441,4.48094,NA,uncharacterized protein,NA
C4_04980W_A,C4_04980W_A,-1.22938,5.29826,5.06E-06,0.000155326,80.1456,protein_coding,54.8492,23.3904,9.22873,2.84719,3.80875,NA,uncharacterized protein,NA
C4_05070C_A,ARG8,-2.31222,5.64608,7.28E-05,0.000733632,43.7502,protein_coding,83.0246,16.6975,37.4496,5.25216,3.13452,NA,acetylornithine transaminase,NA
C4_05110C_A,HAP41,-1.30918,8.1796,0.000145846,0.00116427,36.1416,protein_coding,412.811,166.574,120.337,29.4921,2.93395,NA,Hap41p,NA
C4_05230C_A,RIX1,1.37475,3.95,4.06E-07,4.74E-05,140.296,protein_coding,8.50946,22.0762,0.588296,2.64965,4.32408,NA,uncharacterized protein,NA
C4_05340W_A,C4_05340W_A,-1.19525,3.84711,8.23E-06,0.000197061,71.7431,protein_coding,19.7275,8.61138,3.27119,0.900957,3.7054,NA,anaphase promoting complex subunit,NA
C4_05580C_A,C4_05580C_A,5.78898,4.467,1.31E-06,7.71E-05,113.434,protein_coding,0.782675,43.2684,0.87843,12.2981,4.11289,NA,uncharacterized protein,NA
C4_05730W_A,C4_05730W_A,1.58031,1.08216,0.00358241,0.0114253,14.521,protein_coding,0.964456,2.91972,0.449055,1.50119,1.94213,NA,uncharacterized protein,NA
C4_05850C_A,C4_05850C_A,1.57793,6.42522,5.24E-07,5.11E-05,132.678,protein_coding,43.0499,128.523,4.0785,23.0021,4.29177,NA,uncharacterized protein,NA
C4_05900C_A,C4_05900C_A,-2.30133,7.5902,1.33E-09,3.75E-06,471.533,protein_coding,319.994,64.9065,26.4819,6.0452,5.42622,NA,uncharacterized protein,NA
C4_06140C_A,C4_06140C_A,-1.08768,4.85652,3.01E-06,0.000117487,90.1288,protein_coding,39.0999,18.3951,5.69694,0.900556,3.93001,NA,uncharacterized protein,NA
C4_06310C_A,PGA41,1.47601,3.6704,5.14E-06,0.00015617,79.8965,protein_coding,6.6391,18.4748,1.19964,3.09241,3.8064,NA,Pga41p,NA
C4_06410W_A,C4_06410W_A,1.21069,3.08541,1.93E-06,9.53E-05,99.5211,protein_coding,5.02164,11.6234,0.67074,0.339159,4.02069,NA,mRNA splicing protein,NA
C4_06480C_A,CEK1,-1.07179,6.64737,6.26E-06,0.000167217,76.3689,protein_coding,135.554,64.4847,18.1476,8.05745,3.77672,NA,mitogen-activated serine/threonine-protein kinase,NA
C4_06530C_A,XUT1,1.51799,4.86496,0.000249604,0.00167113,31.8819,protein_coding,15.0144,42.9678,6.45207,7.33819,2.77699,NA,Xut1p,NA
C4_06920C_A,CSA2,-3.0121,2.96113,6.07E-07,5.28E-05,128.683,protein_coding,13.4779,1.6525,4.09234,0.349638,4.27715,NA,Csa2p,NA
C4_06980W_A,PRA1,-1.50305,1.4841,0.00103302,0.00443008,21.2126,protein_coding,3.82428,1.34024,1.28561,0.50252,2.35359,NA,Pra1p,NA
C4_07140W_A,C4_07140W_A,-1.74959,6.73529,3.76E-05,0.000496612,51.4773,protein_coding,163.879,48.6883,37.3052,16.2736,3.30398,NA,uncharacterized protein,NA
C5_00400C_A,C5_00400C_A,1.2991,5.07395,1.18E-05,0.000238304,66.0095,protein_coding,19.3806,47.6764,4.80551,2.80446,3.62287,NA,uncharacterized protein,NA
C5_00480C_A,SEC14,-1.33256,5.50504,9.37E-06,0.000214043,69.6226,protein_coding,64.691,25.6546,9.66717,5.21442,3.6695,NA,phosphatidylinositol/phosphatidylcholine transfer protein,NA
C5_00680W_A,RMT2,1.1627,3.57401,1.49E-05,0.00027206,62.5476,protein_coding,7.25248,16.2344,0.799663,2.75573,3.56534,NA,protein-arginine N5-methyltransferase,NA
C5_00770C_A,FOL1,1.26409,3.53339,4.41E-06,0.000142186,82.6877,protein_coding,6.71107,16.1125,0.940522,2.05703,3.84714,NA,trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase,NA
C5_00830C_A,ERV46,-1.16458,7.31474,5.69E-05,0.000639055,45.4207,protein_coding,219.867,98.0743,41.1688,20.8749,3.19446,NA,Erv46p,NA
C5_01220W_A,C5_01220W_A,1.07792,5.24326,3.64E-05,0.000491292,50.6127,protein_coding,24.254,51.2149,3.31659,9.68265,3.30866,NA,uncharacterized protein,NA
C5_01250W_A,GPR1,-1.0314,6.07833,6.97E-05,0.000716879,43.2064,protein_coding,90.4425,44.2388,20.0919,3.86524,3.14455,NA,Gpr1p,NA
C5_01260W_A,C5_01260W_A,1.49634,4.39446,0.000109548,0.000938098,38.8739,protein_coding,10.9309,30.8474,3.00631,8.71886,3.02775,NA,uncharacterized protein,NA
C5_01600C_A,SPB4,1.0156,3.78366,9.61E-06,0.000217498,69.2106,protein_coding,9.00133,18.2069,1.40351,0.527567,3.66255,NA,putative ATP-dependent RNA helicase,NA
C5_01680C_A,CCN1,1.1193,3.85637,0.00402121,0.0125215,14.1233,protein_coding,9.03791,19.6165,3.55214,6.86303,1.90235,NA,Ccn1p,NA
C5_01710C_A,C5_01710C_A,1.01828,1.33513,0.000839054,0.00381257,22.507,protein_coding,1.54361,3.12838,0.337026,0.535772,2.41878,NA,uncharacterized protein,NA
C5_01800C_A,HIP1,-1.25637,7.41903,3.34E-07,4.30E-05,146.354,protein_coding,240.966,100.849,20.8301,10.1082,4.36631,NA,Hip1p,NA
C5_01830C_A,HAL9,-1.12537,5.20743,0.0002038,0.00145535,33.1565,protein_coding,50.3542,23.0746,14.0787,3.08945,2.83703,NA,Hal9p,NA
C5_02430W_A,ZCF22,2.29448,4.93592,3.46E-05,0.000475959,52.5361,protein_coding,10.3336,50.6471,4.81994,11.6333,3.32243,NA,Zcf22p,NA
C5_02500C_A,C5_02500C_A,-1.32527,2.80611,1.60E-05,0.000281078,61.4586,protein_coding,9.69118,3.85194,1.73232,0.541089,3.55117,NA,uncharacterized protein,NA
C5_02630C_A,MNN1,1.06813,1.64856,0.00653196,0.0182341,11.8418,protein_coding,1.89734,4.02022,0.82722,1.04148,1.73911,NA,Mnn1p,NA
C5_02780W_A,C5_02780W_A,1.36216,2.90112,0.000304236,0.00191526,29.6896,protein_coding,4.09284,10.548,1.00053,3.33936,2.71777,NA,uncharacterized protein,NA
C5_02930C_A,GRE3,2.28505,4.96625,5.67E-06,0.000159277,80.5954,protein_coding,10.6091,51.705,3.82417,11.0287,3.79785,NA,trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+)),NA
C5_03000C_A,C5_03000C_A,1.18431,3.93072,0.000525858,0.00274678,25.7464,protein_coding,9.23238,20.9781,3.18494,3.4772,2.56118,NA,uncharacterized protein,NA
C5_03130W_A,SUT1,-1.42847,4.58973,6.49E-06,0.000171031,75.7415,protein_coding,34.7751,12.9203,7.66255,1.59737,3.76693,NA,Sut1p,NA
C5_03270W_A,TEF4,3.90113,4.37374,6.28E-07,5.35E-05,132.688,protein_coding,2.57429,38.7617,0.71266,16.1491,4.27137,NA,Tef4p,NA
C5_03310C_A,PCL1,1.40782,2.6463,0.00045075,0.00245856,26.7225,protein_coding,3.3406,8.87052,0.804704,3.2366,2.60932,NA,Pcl1p,NA
C5_03510C_A,C5_03510C_A,-1.46948,4.4059,0.00515484,0.0151637,12.9881,protein_coding,30.8278,11.0656,5.00611,7.21109,1.81919,NA,uncharacterized protein,NA
C5_03570W_A,C5_03570W_A,-1.00224,7.12527,1.05E-05,0.000222926,67.8086,protein_coding,185.948,92.8276,25.279,9.99923,3.65184,NA,,NA
C5_03600W_A,MDJ1,-1.14286,6.03401,0.000710993,0.00341253,23.9502,protein_coding,89.8747,40.6972,33.2463,2.68582,2.46692,NA,Mdj1p,NA
C5_03670C_A,C5_03670C_A,1.46233,6.00678,3.19E-06,0.000121352,88.9567,protein_coding,34.1584,94.1181,2.27626,21.4388,3.91595,NA,uncharacterized protein,NA
C5_03710C_A,C5_03710C_A,1.68107,6.07573,9.79E-05,0.000875909,40.6088,protein_coding,31.9868,102.567,2.24988,39.722,3.05754,NA,uncharacterized protein,NA
C5_03740W_A,C5_03740W_A,1.12167,3.75975,7.20E-06,0.000183286,73.969,protein_coding,8.42775,18.3439,1.2848,1.67306,3.73687,NA,uncharacterized protein,NA
